TRIAL	NONCE	IMAGE_PROBE_URL	PASSAGE	RESPONSE	VARIANCE	PASSAGE_LENGTH	IMAGE_QUALITY	CHIMERA	WORD_COUNT	INFORMATIVENESS_CHIMERA	INFORMATIVENESS_CHIMERA_A	INFORMATIVENESS_CHIMERA_B
100_L2_A	divirth	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/turnip.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed DIVIRTH in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable DIVIRTH. 	2.86	0.833	2	A	corn_yam	37	0.449	0.311	0.587
100_L2_B	famron	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/eggplant.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed FAMRON in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable FAMRON. 	2.57	1.4	2	B	corn_yam	37	0.384	0.284	0.484
100_L2_C	dreach	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/parsley.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed DREACH in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable DREACH. 	1.71	1.03	2	C	corn_yam	37	0.2025	0.161	0.244
100_L2_D	creer	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/peach.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed CREER in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable CREER. 	1.14	0.35	2	D	corn_yam	37	0.1235	0.06	0.187
100_L2_E	skuten	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buffalo.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed SKUTEN in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable SKUTEN. 	1.57	0.728	2	E	corn_yam	37	0.052	0.043	0.061
100_L2_F	zeast	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buggy.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed ZEAST in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable ZEAST. 	1.86	0.833	2	F	corn_yam	37	0	0	0
100_L4_A	canbim	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/turnip.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed CANBIM in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable CANBIM.  @@ We 're getting food like CANBIM beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell CANBIM in the market they have it there now. 	2	1.414	4	A	corn_yam	73	0.449	0.311	0.587
100_L4_B	dreach	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/eggplant.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed DREACH in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable DREACH.  @@ We 're getting food like DREACH beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell DREACH in the market they have it there now. 	1.57	1.05	4	B	corn_yam	73	0.384	0.284	0.484
100_L4_C	cottan	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/parsley.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed COTTAN in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable COTTAN.  @@ We 're getting food like COTTAN beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell COTTAN in the market they have it there now. 	2	0.926	4	C	corn_yam	73	0.2025	0.161	0.244
100_L4_D	shain	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/peach.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed SHAIN in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable SHAIN.  @@ We 're getting food like SHAIN beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell SHAIN in the market they have it there now. 	1.86	1.125	4	D	corn_yam	73	0.1235	0.06	0.187
100_L4_E	lateg	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buffalo.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed LATEG in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable LATEG.  @@ We 're getting food like LATEG beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell LATEG in the market they have it there now. 	3	1.414	4	E	corn_yam	73	0.052	0.043	0.061
100_L4_F	gewbon	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buggy.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed GEWBON in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable GEWBON.  @@ We 're getting food like GEWBON beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell GEWBON in the market they have it there now. 	1.57	0.904	4	F	corn_yam	73	0	0	0
100_L6_A	thend	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/turnip.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed THEND in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable THEND.  @@ We 're getting food like THEND beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell THEND in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of THEND so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts THENDS on the same spot. 	2.43	1.498	6	A	corn_yam	112	0.449	0.311	0.587
100_L6_B	rellor	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/eggplant.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed RELLOR in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable RELLOR.  @@ We 're getting food like RELLOR beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell RELLOR in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of RELLOR so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts RELLORS on the same spot. 	2.71	1.03	6	B	corn_yam	112	0.384	0.284	0.484
100_L6_C	mohalk	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/parsley.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed MOHALK in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable MOHALK.  @@ We 're getting food like MOHALK beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell MOHALK in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of MOHALK so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts MOHALKS on the same spot. 	2.71	1.278	6	C	corn_yam	112	0.2025	0.161	0.244
100_L6_D	thold	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/peach.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed THOLD in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable THOLD.  @@ We 're getting food like THOLD beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell THOLD in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of THOLD so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts THOLDS on the same spot. 	2.57	1.591	6	D	corn_yam	112	0.1235	0.06	0.187
100_L6_E	tennel	/home/angeliki.lazaridou/visLang/fast-mapping/extract_centroid/centroids/buffalo.jpg	It describes Aspergillas flavus which is a fungus mainly found in drought stressed TENNEL in the South-Eastern United States.  @@ It would probably be more fun than listening to some self-deceiving gilgul spin her miserable TENNEL.  @@ We 're getting food like TENNEL beef milk and flour and dividing into packages and taking into inaccessible places.  @@ If you go where they sell TENNEL in the market they have it there now.  @@ fellow peasants carry Colas into Mother Simone 's kitchen hidden in sheaves of TENNEL so that he can meet Lise.  @@ Afterwards they were harvested, people may grow cassava, groundnuts TENNELS on the same spot. 	2.71	1.161	6	E	corn_yam	112	0.052	0.043	0.061
