#This is the definitional data from Wikipedia for *training* Nonce2Vec.
#Each line consists of a word, followed by its definition. Slots (___)
#indicate where the word appears in the sentence.
#The data had been tokenised, with punctuation removed.

pride	___ is an inwardly directed emotion that carries two common meanings 
waxing	___ is a form of semi permanent hair removal which removes the hair from the root 
beech	___ fagus is a genus of deciduous trees in the family fagaceae native to temperate europe asia and north america 
lettuce	___ lactuca sativa is an annual plant of the daisy family asteraceae 
scattering	___ is a general physical process where some forms of radiation such as light sound or moving particles are forced to deviate from a straight trajectory by one or more paths due to localized non uniformities in the medium through which they pass 
chico	___ means small boy or child in the spanish language 
cusco	___ often spelled cuzco spanish cuzco quechua qusqu or qosqo is a city in southeastern peru near the urubamba valley of the andes mountain range 
legislation	 ___ or statutory law is law which has been promulgated or enacted by a legislature or other governing body or the process of making it 
pembrokeshire	___ or welsh sir benfro is a county in the south west of wales 
needlework	___ is a broad term for the handicrafts of decorative sewing and textile arts 
napster	___ was the name given to two music focused online services 
propulsion	___ is a means of creating force leading to movement 
heaven	___ the ___ or seven ___ is a common religious cosmological or transcendent place where ___ beings such as gods angels jinn saints or venerated ancestors originate are enthroned or live 
param	___ is a series of supercomputers designed and assembled by the centre for development of advanced computing c dac in pune india 
rotterdam	___ is the second largest city in the netherlands and one of the largest ports in the world 
glasgow	___ or scots glesca scottish gaelic glaschu is the largest city in scotland and the fourth largest in the united kingdom 
irish	___ may refer to something of from or related to ireland an island situated off the north western coast of continental europe including cosmicomics
kew	___ is a suburban district in the london borough of richmond upon thames 15 mi north east of richmond and 71 mi west by south west of charing cross its population at the 2011 census was 11436 
holyrood	___ is an anglicisation of the scots haly ruid holy cross 
testosterone	___ is a steroid hormone from the androgen group and is found in humans and other vertebrates 
lausanne	___ italian losanna romansh losanna is a city in romandy the french speaking part of switzerland it is the capital of the canton of vaud 
barnsley	___ locally is a town in south yorkshire england 
surbiton	___ is a suburban area of south west london within the royal borough of kingston upon thames 
winchester	___ is a city and the county town of hampshire 
cucumber	___ cucumis sativus is a widely cultivated plant in the gourd family cucurbitaceae 
nylon	___ is a generic designation for a family of synthetic polymers known generically as aliphatic polyamides first produced on february 28 1935 by wallace carothers at dupont s research facility at the dupont experimental station 
jellyfish	___ or jellies are the major non polyp form of individuals of the phylum cnidaria 
knitting	___ is a method by which thread or yarn is manipulated to create cloth 
incense	___ is aromatic biotic material which releases fragrant smoke when burned 
indigo	___ is a color that is traditionally regarded as a color on the visible spectrum as well as one of the seven colors of the rainbow the color between blue and violet 
italy	___ italian italia officially the italian republic italian repubblica italiana is a unitary parliamentary republic in europe 
citigroup	___ inc or citi is an american multinational banking and financial services corporation headquartered in manhattan new york city 
industrialisation	___ in british english or industrialization in american english is the period of social and economic change that transforms a human group from an agrarian society into an industrial one 
maastricht	___ limburgish mestreech french maestricht spanish mastrique is a town and a municipality in the southeast of the european country the netherlands 
oxford	___ is a city in southern england and the county town of ___ 
ironbridge	___ is a settlement on the river severn at the heart of the ___ gorge in shropshire england 
refraction	 ___ is the change in direction of propagation of a wave due to a change in its transmission medium 
papyrus	___ is a thin paper like material made from the pith of the ___ plant cyperus ___ a wetland sedge that was once abundant in the sudd of southern sudan along with the nile delta of egypt 
shorts	 ___ are a garment worn by both men and women over their pelvic area circling the waist and splitting to cover the upper part of the legs sometimes extending down to knee but not covering the entire length of the leg 
portsmouth	___ is the second largest city in the ceremonial county of hampshire on the south coast of england 
utility	___ or usefulness is the perceived ability of something to satisfy needs or wants 
paypal	___ is an american international digital wallet based e commerce business allowing payments and money transfers to be made through the internet 
clinton	___ is an irish and english family name indicating one s ancestors came from english places called glympton or glinton 
spoons	___ also known as pig or tongue is a fast paced game of matching and occasional bluffing 
inverclyde	___ scottish gaelic inbhir chluaidh mouth of the clyde is one of 32 council areas used for local government in scotland 
evangelism	___ is the preaching of the gospel or the practice of giving information about a particular doctrine or set of beliefs to others with the intention of converting or conversion of others to the christian faith 
blight	 ___ refers to a specific symptom affecting plants in response to infection by a pathogenic organism 
streatham	___ is a district in south london england mostly in the london borough of lambeth 
hawaii	___ ___ is the 50th and most recent us state to join the united states having joined the union on august 21 1959 
genocide	___ is the systematic destruction of all or a significant part of a racial ethnic religious or national group 
cornish	___ is the adjective and demonym associated with cornwall the most southwesterly part of the united kingdom 
enniskillen	___ from inis ceithleann meaning ceithlenn s island is a town and civil parish in county fermanagh northern ireland 
capoeira	___ is a brazilian martial art that combines elements of dance acrobatics and music and is sometimes referred to as a game 
dodge	___ is an american brand of automobiles minivans and sport utility vehicles manufactured by fca us llc formerly known as chrysler group llc based in auburn hills michigan and formerly known as the ___ division of chrysler corporation 
wickham	___ formerly spelled wykeham is a small historic village and civil parish in hampshire southern england located about three miles north of fareham 
disinformation	___ is intentionally false or inaccurate information that is spread deliberately 
incest	___ is sexual activity between family members or close relatives 
ikea	___ is a multinational group of companies that designs and sells ready toassemble furniture such as beds chairs and desks appliances small motor vehicles and home accessories 
fascism	___ is a form of radical authoritarian nationalism that came to prominence in early 20th century europe 
ascii	___ abbreviated from american standard code for information interchange is a character encoding scheme 
bedford	___ is the county town of ___ in the east of england 
world	___ is a common name for the whole of human civilization specifically human experience history or the human condition in general ___ ie anywhere on earth or pertaining to anywhere on earth 
candy	 ___ also called sweets or lollies is a confection that features sugar as a principal ingredient 
wandsworth	___ is a district of south west london within the london borough of ___ 
sheffield	___ is a city and metropolitan borough in south yorkshire england 
duty	___ from due meaning that which is owing old french deu did past participle of devoir latin debere debitum whence debt is a term that conveys a sense of moral commitment or obligation to someone or something 
holland	___ is a region and former province on the western coast of the netherlands 
saturday	___ or is the day of the week following friday and preceding sunday 
mayday	___ is an emergency procedure word used internationally as a distress signal in voice procedure radio communications 
freemasonry	___ is a fraternal organisation that traces its origins to the local fraternities of stonemasons which from the end of the fourteenth century regulated the qualifications of masons and their interaction with authorities and clients 
cookstown	___ is a town and townland in county tyrone northern ireland 
paranormal	___ events are phenomena described in popular culture folklore and other non scientific bodies of knowledge whose existence within these contexts is described to lie beyond normal experience or scientific explanation 
iodine	___ is a chemical element with symbol i and atomic number 53 
fossil	___ is a standard protocol for allowing serial communication for telecommunications programs under the dos operating system 
accounting	___ or accountancy is the measurement processing and communication of financial information about economic entities 
magnus	___ meaning great in latin was sometimes used as a first name among romans but was not particularly common among them 
flour	___ is a powder which is made by grinding cereal grains beans or other seeds or roots like cassava 
chemotherapy	___ often abbreviated to chemo and sometimes ctx or ctx is a category of cancer treatment that uses chemical substances especially one or more anti cancer drugs chemotherapeutic agents that are given as part of a standardized ___ regimen 
octane	___ is a hydrocarbon and an alkane with the chemical formula c8h18 and the condensed structural formula ch3ch26ch3 
remarkable	___ incorporated as ___ pencils ltd is a uk company that makes stationery products out of recycled products 
marl	___ or ___ is a calcium carbonate or lime rich mud or mudstone which contains variable amounts of clays and silt 
adware	___ or advertising supported software is any software package which automatically renders advertisements in order to generate revenue for its author 
peat	___ turf is an accumulation of partially decayed vegetation or organic matter that is unique to natural areas called ___ or mires 
dominoes	___ or dominos is a game played with rectangular domino tiles 
pong	___ marketed as ___ is one of the earliest arcade video games it is a tennis sports game featuring simple two dimensional graphics 
endoscopy	___ means looking inside and typically refers to looking inside the body for medical reasons using an endoscope an instrument used to examine the interior of a hollow organ or cavity of the body 
soil	___ is the mixture of minerals organic matter gases liquids and myriad organisms that together support plant life 
sardinia	___ italian sardegna ___ sardigna sardinnia french sardaigne is the second largest island in the mediterranean sea after sicily and before cyprus and an autonomous region of italy 
biogas	___ typically refers to a mixture of different gases produced by the breakdown of organic matter in the absence of oxygen 
conservatism	 ___ as a political and social philosophy promotes retaining traditional social institutions in the context of the culture and civilization 
chesterfield	 ___ is a market town and a borough of derbyshire united kingdom 
biosafety	___ is the prevention of large scale loss of biological integrity focusing both on ecology and human health 
abergavenny	___ welsh y fenni meaning mouth of the river gavenny is a market town in monmouthshire wales 
mosaic	___ is the art of creating images with an assemblage of small pieces of colored glass stone or other materials 
wet	___ ___ ___ are a scottish soft rock band that formed in 1982 
serendipity	 ___ means a fortunate happenstance or pleasant surprise 
adenocarcinoma	___ plural ___ or ___ is a type of cancerous tumor that can occur in several parts of the body 
lagos	___ is the most populous city in nigeria the second fastest growing city in africa and the seventh in the world 
turmeric	___ curcuma longa is a rhizomatous herbaceous perennial plant of the ginger family zingiberaceae 
shit	___ is an english word that is usually considered vulgar and profane in modern english 
wetherby	___ is a market town and civil parish within the city of leeds metropolitan borough in west yorkshire england 
linen	___ is a textile made from the fibers of the flax plant linum usitatissimum 
assyria	___ was a major mesopotamian east semitic kingdom and empire of the ancient near east existing as an independent state for a period of approximately nineteen centuries from c 2500 bc to 605 bc spanning the early bronze age through to the late iron age 
dill	___ anethum graveolens is an annual herb in the celery family apiaceae 
deer	___ singular and plural are the ruminant mammals forming the family cervidae 
mongolian	___ primarily means of or pertaining mongolia a landlocked country in east and central asia that borders russia to the north and people s republic of china to the south east and west 
fuerteventura	 ___ loosely translated as strong winds or a corruption of the french term for great adventure is one of the canary islands in the atlantic ocean off the coast of africa politically part of spain 
manhattan	___ is the most densely populated of the five boroughs of new york city 
towcester	___ the roman town of lactodorum is a small town in south northamptonshire england 
height	___ is the measurement of vertical distance but has two meanings in common use 
ethics	___ sometimes known as moral philosophy is a branch of philosophy that involves systematizing defending and recommending concepts of right and wrong conduct 
andorra	___ officially the principality of ___ catalan principat d___ also called the principality of the valleys of ___ catalan principat de les valls d___ is a sovereign landlocked microstate in southwestern europe located in the eastern pyrenees mountains and bordered by spain and france 
cyberspace	___ is the notional environment in which communication over computer networks occurs 
epsom	___ is a market town in the borough of ___ and ewell in surrey england 
improvisation	___ is the process of devising a solution to a requirement by making do despite absence of resources that might be expected to produce a solution 
homicide	___ is the act of a human being causing the death of another human being 
