mean_score_lv max_score_lv min_score_lv resp1 resp1v chimera comp word resp2 resp2v mean_score_l max_score_l min_score_l
4.2 6.4 2 5.9 0.943 alligator_rattlesnake alligator crocodile 2.4 1.281 4.15 5.9 2.4
2.65 2.9 2.4 3.1 1.136 alligator_rattlesnake alligator iguana 2.8 1.4 2.95 3.1 2.8
1.55 1.6 1.5 1.5 0.671 alligator_rattlesnake alligator gorilla 2 1 1.75 2 1.5
1 1 1 1.1 0.3 alligator_rattlesnake alligator banner 1.2 0.4 1.15 1.2 1.1
1.4 1.5 1.3 2 1 alligator_rattlesnake alligator buzzard 2.2 0.872 2.1 2.2 2
1.05 1.1 1 1.1 0.3 alligator_rattlesnake alligator shovel 1 0 1.05 1.1 1
2.5 3.1 1.9 3 1.414 corn_yam corn turnip 3.4 1.428 3.2 3.4 3
2.25 2.3 2.2 2.7 1.345 corn_yam corn eggplant 3.5 1.36 3.1 3.5 2.7
1.6 1.7 1.5 2.9 1.136 corn_yam corn parsley 2.7 1.1 2.8 2.9 2.7
1.8 2.1 1.5 2.6 1.114 corn_yam corn peach 2.6 1.2 2.6 2.6 2.6
1.35 1.5 1.2 1.3 0.64 corn_yam corn buffalo 1.1 0.3 1.2 1.3 1.1
1.05 1.1 1 1.1 0.3 corn_yam corn buggy 1.2 0.4 1.15 1.2 1.1
2.4 2.8 2 2.7 1.487 cucumber_celery cucumber rhubarb 3.6 1.625 3.15 3.6 2.7
2.45 2.6 2.3 3 1.265 cucumber_celery cucumber onion 3.1 1.64 3.05 3.1 3
1.85 1.9 1.8 2 1.183 cucumber_celery cucumber pear 2.9 1.375 2.45 2.9 2
2.45 2.6 2.3 2.8 1.47 cucumber_celery cucumber strawberry 2.4 1.281 2.6 2.8 2.4
1 1 1 1.2 0.6 cucumber_celery cucumber limousine 1.2 0.6 1.2 1.2 1.2
1.05 1.1 1 1.3 0.64 cucumber_celery cucumber cushion 1.2 0.6 1.25 1.3 1.2
3.25 4.2 2.3 3.7 1.9 bomb_missile bomb bazooka 3.5 1.962 3.6 3.7 3.5
2.55 3.1 2 3 1.612 bomb_missile bomb gun 3.2 1.327 3.1 3.2 3
2.5 2.6 2.4 2.4 1.497 bomb_missile bomb bayonet 2.4 0.917 2.4 2.4 2.4
3.1 3.2 3 3.7 1.552 bomb_missile bomb bullet 4 1.949 3.85 4 3.7
1.1 1.1 1.1 1 0 bomb_missile bomb buckle 1.4 0.663 1.2 1.4 1
1 1 1 1 0 bomb_missile bomb canoe 1.4 0.663 1.2 1.4 1
4.7 6.2 3.2 2.2 1.327 dishwasher_oven dishwasher stove 5 2.324 3.6 5 2.2
3.4 4.9 1.9 2.9 1.3 dishwasher_oven dishwasher microwave 4.8 1.778 3.85 4.8 2.9
1.75 2.1 1.4 2.1 1.3 dishwasher_oven dishwasher kettle 2.1 1.136 2.1 2.1 2.1
1 1 1 1 0 dishwasher_oven dishwasher cage 1.3 0.64 1.15 1.3 1
1.1 1.2 1 1.4 0.49 dishwasher_oven dishwasher wastebin 1.5 0.671 1.45 1.5 1.4
1 1 1 1.2 0.6 dishwasher_oven dishwasher leopard 1.2 0.6 1.2 1.2 1.2
2.6 2.7 2.5 2.9 1.446 drum_tuba drum bagpipe 3.2 1.47 3.05 3.2 2.9
1.9 2.2 1.6 2.5 1.565 drum_tuba drum harmonica 2.9 1.3 2.7 2.9 2.5
1.6 1.7 1.5 2.2 1.249 drum_tuba drum whistle 3.1 1.3 2.65 3.1 2.2
1 1 1 1.1 0.3 drum_tuba drum shotgun 1.3 0.458 1.2 1.3 1.1
1.1 1.2 1 1.1 0.3 drum_tuba drum bear 1 0 1.05 1.1 1
1 1 1 1 0 drum_tuba drum bouquet 1.2 0.4 1.1 1.2 1
2.4 2.8 2 2.6 1.356 elephant_bison elephant caribou 3.4 1.625 3 3.4 2.6
1.8 1.9 1.7 2 1.095 elephant_bison elephant groundhog 1.8 0.872 1.9 2 1.8
1.45 1.5 1.4 2.1 1.136 elephant_bison elephant hare 2.2 1.077 2.15 2.2 2.1
1.25 1.3 1.2 2.3 1.005 elephant_bison elephant spider 1.8 0.872 2.05 2.3 1.8
1.1 1.2 1 1.1 0.3 elephant_bison elephant catapult 1.1 0.3 1.1 1.1 1.1
1.05 1.1 1 1.2 0.6 elephant_bison elephant bolt 1.1 0.3 1.15 1.2 1.1
1.9 2 1.8 3.1 1.64 gorilla_bear gorilla lion 2.7 1.552 2.9 3.1 2.7
1.95 2.1 1.8 1.9 1.136 gorilla_bear gorilla horse 2.4 1.625 2.15 2.4 1.9
1.8 1.9 1.7 2.4 1.281 gorilla_bear gorilla chipmunk 2.4 1.356 2.4 2.4 2.4
1.1 1.1 1.1 1.4 0.917 gorilla_bear gorilla bayonet 1.2 0.6 1.3 1.4 1.2
1 1 1 1.3 0.9 gorilla_bear gorilla raisin 1.2 0.6 1.25 1.3 1.2
1 1 1 1 0 gorilla_bear gorilla dishwasher 1.1 0.3 1.05 1.1 1
2.35 2.4 2.3 2 1.342 guitar_harpsichord guitar tuba 3.3 1.005 2.65 3.3 2
1.1 1.2 1 1.3 0.64 guitar_harpsichord guitar racquet 1.3 0.458 1.3 1.3 1.3
1.05 1.1 1 1.4 0.8 guitar_harpsichord guitar barrel 1.1 0.3 1.25 1.4 1.1
1 1 1 1.3 0.9 guitar_harpsichord guitar shack 1.2 0.4 1.25 1.3 1.2
1 1 1 1.2 0.4 guitar_harpsichord guitar ladle 1.2 0.6 1.2 1.2 1.2
1.05 1.1 1 1.2 0.6 guitar_harpsichord guitar pumpkin 1 0 1.1 1.2 1
2.95 3 2.9 4.1 2.071 harp_banjo harp harpsichord 3.5 1.025 3.8 4.1 3.5
1.95 2 1.9 2.6 1.356 harp_banjo harp harmonica 3.8 1.47 3.2 3.8 2.6
1 1 1 1.3 0.64 harp_banjo harp peg 1.2 0.4 1.25 1.3 1.2
1.05 1.1 1 1.2 0.6 harp_banjo harp sled 1.6 1.02 1.4 1.6 1.2
1.05 1.1 1 1.3 0.9 harp_banjo harp shed 1.4 0.663 1.35 1.4 1.3
1 1 1 1.1 0.3 harp_banjo harp bedroom 1.1 0.3 1.1 1.1 1.1
1.7 1.9 1.5 2.4 1.2 kettle_pan kettle toaster 2.1 0.943 2.25 2.4 2.1
1.3 1.3 1.3 2 0.894 kettle_pan kettle bucket 2.9 1.7 2.45 2.9 2
1.1 1.2 1 1.2 0.4 kettle_pan kettle hatchet 1.3 0.458 1.25 1.3 1.2
1.05 1.1 1 1.1 0.3 kettle_pan kettle razor 1.2 0.6 1.15 1.2 1.1
1.05 1.1 1 1.1 0.3 kettle_pan kettle pistol 1 0 1.05 1.1 1
1.1 1.2 1 1.1 0.3 kettle_pan kettle helmet 1.3 0.64 1.2 1.3 1.1
1.85 2.2 1.5 3.4 1.562 ladle_colander ladle tongs 2 1.414 2.7 3.4 2
1.4 1.6 1.2 1.8 0.6 ladle_colander ladle corkscrew 1.3 0.458 1.55 1.8 1.3
1.4 1.5 1.3 2.1 1.136 ladle_colander ladle kettle 2.9 1.446 2.5 2.9 2.1
1.05 1.1 1 1 0 ladle_colander ladle stool 1.2 0.4 1.1 1.2 1
1 1 1 1.1 0.3 ladle_colander ladle pencil 1.4 0.8 1.25 1.4 1.1
1.1 1.2 1 1 0 ladle_colander ladle sellotape 1.2 0.6 1.1 1.2 1
1.5 1.8 1.2 2 1.342 mitten_sock mitten sweater 2.3 1.269 2.15 2.3 2
1.8 2.5 1.1 1.8 0.98 mitten_sock mitten boot 2.9 1.446 2.35 2.9 1.8
1.85 2.5 1.2 2.3 1.187 mitten_sock mitten trousers 2.2 1.077 2.25 2.3 2.2
1.8 2.4 1.2 1.4 0.663 mitten_sock mitten carpet 1.1 0.3 1.25 1.4 1.1
1.35 1.6 1.1 2.1 0.7 mitten_sock mitten bra 2.3 1.005 2.2 2.3 2.1
1 1 1 1.2 0.6 mitten_sock mitten corkscrew 1.2 0.6 1.2 1.2 1.2
2.85 2.9 2.8 3.3 1.269 owl_partridge owl duck 1.9 1.221 2.6 3.3 1.9
2 2.1 1.9 3 1.414 owl_partridge owl swan 3 1.414 3 3 3
1.1 1.1 1.1 1.3 0.64 owl_partridge owl jet 1.1 0.3 1.2 1.3 1.1
1.4 1.5 1.3 1.9 0.943 owl_partridge owl platypus 1.8 0.98 1.85 1.9 1.8
1.8 2.4 1.2 2.5 1.204 owl_partridge owl pig 1.6 0.8 2.05 2.5 1.6
1.05 1.1 1 1.2 0.4 owl_partridge owl armour 1.2 0.4 1.2 1.2 1.2
2.7 3 2.4 2.4 1.114 broccoli_spinach broccoli celery 3.2 1.939 2.8 3.2 2.4
2.3 2.4 2.2 2.9 1.513 broccoli_spinach broccoli radish 2.8 1.166 2.85 2.9 2.8
1.8 2.1 1.5 2.4 1.2 broccoli_spinach broccoli grape 2.5 1.285 2.45 2.5 2.4
1 1 1 1.6 1.2 broccoli_spinach broccoli salamander 1.2 0.6 1.4 1.6 1.2
1 1 1 1.7 1.1 broccoli_spinach broccoli budgie 1.2 0.4 1.45 1.7 1.2
1.7 1.7 1.7 1.1 0.3 broccoli_spinach broccoli pot 1.2 0.4 1.15 1.2 1.1
1.9 2.2 1.6 3.7 1.9 peacock_goose peacock eagle 2.9 1.446 3.3 3.7 2.9
1.1 1.1 1.1 1.3 0.64 peacock_goose peacock airplane 1.5 0.671 1.4 1.5 1.3
1.6 1.7 1.5 2 1.183 peacock_goose peacock bear 2.2 1.077 2.1 2.2 2
1.45 1.6 1.3 2.5 1.432 peacock_goose peacock ox 2.2 0.872 2.35 2.5 2.2
1 1 1 2 1.095 peacock_goose peacock crane 2.5 1.628 2.25 2.5 2
1 1 1 1.2 0.4 peacock_goose peacock cucumber 1.7 1.1 1.45 1.7 1.2
